INDEX,city,year,weekofyear,week_start_date,total_cases,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm
25,sj,1990,42,10/15/1990,43,,0.0702,0.1816167,0.16575,143.55,299.1957143,299.3071429,296.5442857,301.5,297.5,279.6,85.62142857,143.55,18.11571429,1.871428571,27.62857143,7.4,32.8,23.3,61.8
26,sj,1990,43,10/22/1990,37,0.1462,0.08975,0.1288286,0.1239286,127.03,298.9028571,299.0428571,296.2571429,300.9,297.2,94.52,85.50285714,127.03,17.75,1.8,26.77142857,7.628571429,32.2,21.7,91.5
27,sj,1990,44,10/29/1990,57,0.25225,0.1834333,0.318,0.2959,101.35,299.7271429,299.7785714,296.5342857,301.4,298.5,22.26,82.78714286,101.35,18.03428571,1.785714286,27.97142857,8.642857143,33.3,22.8,6.3
28,sj,1990,45,11/5/1990,71,0.1526,0.181775,0.1783286,0.1866286,20.46,299.9728571,300.0357143,296.5642857,302.2,298.5,14.4,81.71571429,20.46,18.07428571,2.385714286,28.47142857,8.428571429,33.3,23.9,6.6
29,sj,1990,46,11/12/1990,44,0.2908,0.2246,0.1803857,0.2348857,20,300.35,300.5,295.6871429,302.3,298.8,7.1,75.72857143,20,17.08571429,2.2,27.54285714,8.6,32.8,22.2,38.9
30,sj,1990,47,11/19/1990,56,0.2722,0.33035,0.1316333,0.1253833,20.04,299.5114286,299.6357143,295.3757143,301.6,297,36.7,78.15142857,20.04,16.75285714,2.528571429,26.8,7.414285714,31.7,22.2,9.6
31,sj,1990,48,11/26/1990,53,0.1367667,0.216525,0.1767857,0.1415857,33.61,298.2385714,298.2642857,294.8114286,300.2,296.5,44.3,81.38571429,33.61,16.20857143,1.985714286,26.2,7.128571429,31.1,20.6,26.7
32,sj,1990,49,12/3/1990,52,0.1098,0.0886,0.2667833,0.2517,9.96,298.5428571,298.6857143,294.7828571,300.8,296.7,71.8,79.90857143,9.96,16.16142857,2.057142857,25.98571429,5.542857143,29.4,22.2,69
33,sj,1990,50,12/10/1990,47,0.12135,0.26166,0.1913857,0.2099857,0,298.2028571,298.2785714,292.0042857,300.6,296.1,4.1,68.72285714,0,13.61571429,2.985714286,24.68571429,7.771428571,29.4,19.4,2.8
34,sj,1990,51,12/17/1990,26,0.2931333,0.2668667,0.2608571,0.3027286,52.45,298.2971429,298.3785714,294.5585714,300.9,296,32.31,80.08285714,52.45,15.95428571,2.871428571,25.71428571,6.585714286,30.6,21.1,19.8
35,sj,1990,52,12/24/1990,27,0.3025,0.2772333,0.1712667,0.1616222,0,298.0385714,298.0857143,292.1057143,299.8,295.3,5.46,69.68142857,0,13.68285714,2.285714286,25.15714286,5.842857143,28.9,21.1,20.9
36,sj,1991,1,1/1/1991,21,0.1465,0.1404667,0.1515,0.1673143,0,297.06,297.1357143,291.9071429,299,293.9,4.8,72.93857143,0,13.51142857,2.528571429,24.38571429,7.457142857,29.4,18.9,5.3
37,sj,1991,2,1/8/1991,21,,0.1004667,0.2519,0.1376167,15.85,297.6742857,297.8285714,293.2828571,299.3,295.8,26.33,76.62857143,15.85,14.67142857,1.885714286,24.91428571,6.314285714,28.3,21.1,31.7
38,sj,1991,3,1/15/1991,26,,0.2935667,0.2599429,0.2179,0,297.4228571,297.6571429,293.4128571,299.3,296.1,27.4,78.5,0,14.79857143,2,25.24285714,6.571428571,29.4,21.1,16.5
39,sj,1991,4,1/22/1991,34,0.3313,0.3093333,0.2210286,0.2027571,0,297.8842857,298.15,292.3828571,300.3,296,0.7,71.59714286,0,13.87857143,2.557142857,24.71428571,7.771428571,29.4,18.3,6.8
40,sj,1991,5,1/29/1991,37,0.0917,0.246425,0.2438571,0.1956,0,298.0442857,298.2285714,292.5728571,300.1,295,5.7,71.78428571,0,14.04428571,2.771428571,24.82857143,8.157142857,30,18.9,5.9
41,sj,1991,6,2/5/1991,17,0.3801,0.2285667,0.2550429,0.2258,0,297.74,297.9285714,293.15,299.7,295,19.69,75.79428571,0,14.54142857,2.428571429,25.05714286,6.885714286,30,20.6,7.3
42,sj,1991,7,2/12/1991,19,0.0712,0.2211,0.2762429,0.2673429,18.05,296.8842857,297.1142857,292.9728571,300.2,294.1,21.4,78.89571429,18.05,14.46,3.2,25.14285714,8.871428571,32.2,18.9,5.6
43,sj,1991,8,2/19/1991,25,,0.2094,0.1084333,0.1194,0,297.4142857,297.6142857,293.6314286,300.1,295.8,26.2,79.74,0,15.03571429,2.571428571,25.84285714,8.471428571,32.2,20,17.8
44,sj,1991,9,2/26/1991,18,0.1702,0.2086,0.13752,0.1914333,31.79,297.5057143,297.8285714,293.4071429,299.8,295.8,23.8,77.97714286,31.79,14.79428571,2.114285714,25.25714286,7.2,30.6,20,30.7
45,sj,1991,10,3/5/1991,21,0.21075,0.2641,0.2476857,0.2163571,0,297.7771429,298.0785714,293.5314286,300.3,296.4,8.3,77.31571429,0,14.92,2.242857143,26.01428571,8.314285714,31.1,20.6,10.9
46,sj,1991,11,3/12/1991,17,,,0.21325,0.2405429,0,297.4314286,297.6357143,293.3357143,300.1,295.7,13.37,78.13857143,0,14.78714286,2.728571429,25.92857143,8.971428571,31.7,20.6,3.6
47,sj,1991,12,3/19/1991,17,0.1279,0.1784,0.1470143,0.1593,0,297.4071429,297.6142857,293.2542857,300.4,295.4,11.1,77.88285714,0,14.74571429,2.542857143,26.08571429,6.971428571,32.2,21.1,5.7
48,sj,1991,13,3/26/1991,16,0.28035,0.223575,0.2478833,0.2473857,0,297.47,297.6928571,293.74,301,295.7,21.26,80.00142857,0,15.14857143,2.757142857,26.05714286,6.585714286,32.2,22.2,26.9
49,sj,1991,14,4/2/1991,16,0.1691,0.216825,0.2605143,0.2219714,12.92,297.0642857,297.1857143,292.48,299.4,295.4,20.9,75.66285714,12.92,13.99142857,2.285714286,25.24285714,6.814285714,28.9,20.6,4.1
50,sj,1991,15,4/9/1991,15,0.1765,0.2763,0.1845333,0.1773667,6,297.3728571,297.6571429,293.6157143,299.2,295.9,19.78,79.62857143,6,14.99285714,2.628571429,25.3,6.514285714,28.9,21.1,18.8
51,sj,1991,16,4/16/1991,23,0.0774,0.1024,0.16355,0.2061667,44.57,297.2842857,297.3928571,292.17,298.9,296,21.9,73.35142857,44.57,13.73285714,2.014285714,25.51428571,6.271428571,29.4,21.1,19.4
52,sj,1991,17,4/23/1991,16,,0.18845,0.1883143,0.2249429,32.72,298.0742857,298.2357143,294.0285714,299.6,296.7,19.7,78.44714286,32.72,15.46142857,2.3,26.52857143,8.014285714,32.8,21.7,3.5
53,sj,1991,18,4/30/1991,17,0.2091667,0.160575,0.1761714,0.1761714,0,298.8314286,299.0714286,294.97,301,297.1,8.38,79.36,0,16.31428571,2.8,27.31428571,7.714285714,32.2,22.8,2.8
54,sj,1991,19,5/7/1991,12,0.11595,0.180175,0.1063857,0.1111857,35.38,298.6385714,298.7214286,294.8128571,300.9,297.2,20.6,79.54142857,35.38,16.18571429,2.414285714,26.92857143,6.928571429,31.7,22.8,40.2
55,sj,1991,20,5/14/1991,17,,0.10455,0.15115,0.0964,4.16,298.3257143,298.4071429,294.6185714,300.1,296.6,35.37,80.06714286,4.16,15.97428571,2.5,26.52857143,6.585714286,30.6,22.8,32.8
56,sj,1991,21,5/21/1991,10,0.0669,0.1335667,0.09711667,0.1356,51.16,298.5842857,298.4571429,295.1242857,300.4,297,59.3,81.30142857,51.16,16.50142857,1.857142857,27.38571429,6.7,31.7,22.8,3.6
57,sj,1991,22,5/28/1991,15,0.1401,0.1594667,0.2143167,0.2571,55.37,298.8085714,298.8857143,295.2742857,301.1,297.3,43.4,81.08857143,55.37,16.64571429,2.142857143,27.94285714,7.014285714,33.3,23.3,5.6
58,sj,1991,23,6/4/1991,19,0.08585,0.087,0.1196,0.1659286,8.08,299.5185714,299.75,294.9257143,301.6,297.4,5,76.07428571,8.08,16.32428571,2.871428571,28.07142857,7.5,33.3,23.3,20.6
59,sj,1991,24,6/11/1991,21,0.1091,0.1564667,0.1734286,0.1739714,6.09,299.8914286,300.0714286,295.4928571,301.8,298.4,5.82,77.03571429,6.09,16.88285714,2.4,28.22857143,7.971428571,33.9,23.9,9.4
60,sj,1991,25,6/18/1991,14,0.0596,0.09235,0.1301286,0.1306429,44.25,299.7757143,299.9714286,296.3,301.9,298.4,17,81.42142857,44.25,17.70428571,2.171428571,28.92857143,7.142857143,33.9,25,3.3
61,sj,1991,26,6/25/1991,18,0.07965,0.122,0.1851143,0.1582429,73.76,299.41,299.4785714,296.2285714,302.5,297.7,37.8,82.74571429,73.76,17.62857143,2.042857143,27.91428571,7.4,32.8,22.8,12.4
62,sj,1991,27,7/2/1991,13,,0.1779333,0.2015286,0.1981571,26.7,299.3714286,299.3857143,295.9457143,302.4,297.4,51.99,81.69428571,26.7,17.35285714,2.142857143,28.37142857,6.6,32.8,23.9,24.7
63,sj,1991,28,7/9/1991,14,0.0969,,0.13805,0.1679167,6.13,300.0014286,300.1714286,295.7914286,302.1,297.9,18.7,77.87714286,6.13,17.15142857,2.428571429,28.41428571,6.671428571,32.8,24.4,4.6
64,sj,1991,29,7/16/1991,18,,0.07733333,0.09982857,0.1166429,29.67,300.2342857,300.3428571,296.0814286,302.2,298.6,23.6,78.24142857,29.67,17.47285714,2.428571429,28.8,6.914285714,33.9,23.9,12.2
65,sj,1991,30,7/23/1991,23,0.0801,0.00805,0.1380333,0.1290667,56.58,299.8085714,299.9785714,296.3328571,302.1,298.2,27.4,81.48285714,56.58,17.73428571,2.242857143,28,5.885714286,32.8,24.4,43.1
66,sj,1991,31,7/30/1991,25,,,0.1906429,0.1593286,48.41,299.8528571,299.9642857,296.4785714,302,298.3,34.39,81.89714286,48.41,17.87857143,2.3,28.57142857,6.342857143,33.3,25,18
67,sj,1991,32,8/6/1991,62,0.07315,0.1124,0.1925857,0.2093571,13.29,299.8314286,299.8642857,296.4685714,301.8,298.1,31.5,81.96,13.29,17.89571429,2.242857143,28.5,6.514285714,32.8,24.4,12.5
68,sj,1991,33,8/13/1991,60,0.0593,,0.1551,0.1567,0,300.42,300.65,296.4842857,302.8,298.7,20.4,79.19714286,0,17.91142857,2.185714286,29.42857143,5.471428571,33.3,25.6,3.3
69,sj,1991,34,8/20/1991,76,0.0569,0.09814,0.1285143,0.1437286,51.88,300.3114286,300.3857143,296.5814286,302.6,298.3,25.47,80.25571429,51.88,18.01142857,2.4,29.27142857,7.514285714,34.4,24.4,1.5
70,sj,1991,35,8/27/1991,66,0.0693,0.05705,0.22504,0.1864,55.2,300.1171429,300.2,296.67,302.3,298.6,23.8,81.59428571,55.2,18.09142857,2.371428571,28.15714286,7,32.2,23.9,10.7
71,sj,1991,36,9/3/1991,64,0.10805,0.091675,0.1398,0.1624143,65.9,300.1057143,300.15,296.7985714,302.3,298.4,42.33,82.31,65.9,18.26285714,2.128571429,28.94285714,7.542857143,34.4,24.4,27.2
72,sj,1991,37,9/10/1991,68,0.10475,0.1598333,0.11208,0.1446429,33.56,300.54,300.6357143,296.4514286,302.8,298.7,11.4,78.62714286,33.56,17.89571429,3.042857143,28.97142857,7.7,33.9,23.3,61
73,sj,1991,38,9/17/1991,89,0.1098,0.1527333,0.1685714,0.1688714,29.53,300.5271429,300.6,296.9014286,303,298.8,28.8,80.87714286,29.53,18.4,2.457142857,28.91428571,6.8,33.3,24.4,7.9
74,sj,1991,39,9/24/1991,92,0.1676,0.1489,0.1714286,0.2181429,73.55,300.06,300.05,296.59,302.4,298.2,77.5,81.42428571,73.55,18.04428571,2.071428571,28.14285714,6.685714286,32.8,24.4,31.8
75,sj,1991,40,10/1/1991,140,0.1291,0.16672,0.177,0.1955571,31.68,299.65,299.6928571,296.3971429,301.6,298.3,60,82.48571429,31.68,17.85,2.042857143,27.74285714,6.914285714,32.8,23.3,26.5
76,sj,1991,41,10/8/1991,116,0.093,0.093,0.1450833,0.1681667,32.1,299.5628571,299.6714286,295.8871429,302,297.6,55.1,80.51571429,32.1,17.34428571,2.257142857,27.65714286,6.614285714,31.7,22.8,8.3
77,sj,1991,42,10/15/1991,142,0.0137,0.12886,0.1090429,0.1070286,3.29,299.8971429,299.9214286,296.0185714,302,298.1,31.19,79.38285714,3.29,17.43142857,2.3,28.54285714,7.628571429,33.9,24.4,21.3
78,sj,1991,43,10/22/1991,129,0.1944,0.1186,0.1808143,0.1998714,50.24,299.8914286,299.9928571,295.4557143,302,298,12.6,76.77714286,50.24,16.85,2.814285714,27.82857143,7.085714286,32.8,23.3,3.5
79,sj,1991,44,10/29/1991,140,0.094,0.09665,0.1255667,0.1213167,72.61,299.9057143,299.9928571,295.9185714,302.4,298.1,26.83,78.98714286,72.61,17.37571429,3.042857143,28.11428571,7.257142857,32.8,24.4,4.8
80,sj,1991,45,11/5/1991,140,0.0544,0.05475,0.1121333,0.1193857,42.92,299.09,299.2785714,295.5671429,302.6,297.3,74.83,81.05857143,42.92,16.96714286,2.9,27.18571429,6.757142857,32.2,22.8,41.4
81,sj,1991,46,11/12/1991,127,0.0954,0.1114,0.1949429,0.1980571,78.73,298.6857143,298.7857143,295.6157143,301,297.4,72.7,83.51428571,78.73,17.06142857,1.971428571,26.65714286,6.742857143,31.1,22.2,28.2
82,sj,1991,47,11/19/1991,129,0.00825,0.028425,0.1387429,0.1796429,0,298.6985714,298.7071429,294.03,300.8,297.1,15.1,75.54857143,0,15.46,2.271428571,26.31428571,6.814285714,30,22.2,9.4
83,sj,1991,48,11/26/1991,169,0.08786667,0.1519,0.1796286,0.1661857,35.34,298.3757143,298.5,294.9385714,301.1,296.9,78.43,81.48571429,35.34,16.32285714,2.028571429,26.27142857,6.585714286,30,22.2,76.2
84,sj,1991,49,12/3/1991,141,0.0802,0.14025,0.1336286,0.1344571,0,298.6428571,298.8428571,294.9742857,300.5,297.7,35.1,80.27571429,0,16.34,1.8,26.72857143,6.057142857,30.6,23.3,19.6
85,sj,1991,50,12/10/1991,108,-0.02665,0.2128,0.2224143,0.2289429,0,298.5185714,298.5928571,294.5142857,300.2,297.3,26.8,78.62142857,0,15.88428571,2.014285714,25.61428571,5.857142857,29.4,21.7,34.2
86,sj,1991,51,12/17/1991,78,,0.04613333,0.1144,0.04045714,0,298.0842857,298.1357143,292.8657143,299.6,296.6,8.76,72.86142857,0,14.33571429,2.071428571,25,6.157142857,28.9,20.6,6.1
87,sj,1991,52,12/24/1991,70,0.12355,0.1237,0.1379333,0.1297556,0,296.5214286,296.5071429,292.0457143,299.2,294.3,19.3,76.12714286,0,13.63571429,2.214285714,24.35714286,6.185714286,28.3,19.4,13.7
88,sj,1992,1,1/1/1992,81,0.1251,0.1578667,0.1852833,0.1813667,0,,,,,,,,0,,,,,,,
89,sj,1992,2,1/8/1992,104,0.1008333,0.073575,0.1387143,0.1127857,200.85,297.9128571,298.1214286,294.4571429,300.4,296.1,18.3,81.3,200.85,15.87857143,2.3,25.65714286,7.5,30.6,20.6,58.2
90,sj,1992,3,1/15/1992,90,0.2224,0.2299,0.1984571,0.1994143,3.12,297.3385714,297.4857143,294.4671429,300.2,295.6,19.8,84.11714286,3.12,15.83285714,1.857142857,25.47142857,6.171428571,31.1,21.7,32.3
91,sj,1992,4,1/22/1992,85,0.1225333,0.13105,0.1888429,0.1688714,0,297.0914286,297.3357143,293.0214286,299.5,295.6,5.11,78.29142857,0,14.48285714,2.357142857,24.85714286,7.442857143,30.6,20,1.3
92,sj,1992,5,1/29/1992,55,,0.0483,0.1736714,0.1919286,0,297.42,297.55,292.7185714,299.3,295.5,6.5,75.22,0,14.18571429,2.442857143,24.8,6.585714286,28.9,20,9.2
93,sj,1992,6,2/5/1992,53,0.1016,0.0846,0.1117167,0.1879571,0,296.92,297.1285714,292.6171429,300.7,294.5,16.2,77.05857143,0,14.12285714,3.4,24.71428571,7.357142857,30.6,20,3
94,sj,1992,7,2/12/1992,65,,0.1305,0.1957429,0.1788571,0,297.7985714,298.0571429,294.65,300.2,295.3,20.1,82.87571429,0,16.06,2.2,26.02857143,6.571428571,32.2,20,1.3
95,sj,1992,8,2/19/1992,33,,0.1844667,0.1946143,0.2030571,0,297.8985714,298.1071429,293.6285714,300.1,296.3,4.4,77.29571429,0,15.01285714,2.585714286,25.75714286,7.385714286,33.9,21.7,8.9
96,sj,1992,9,2/26/1992,38,0.10705,0.0815,0.1652429,0.1630571,0,297.4728571,297.6785714,292.9671429,299.3,296.3,14.4,76.03714286,0,14.38142857,2.414285714,25.28571429,6.171428571,29.4,21.7,16
97,sj,1992,10,3/4/1992,59,,0.18218,0.1910857,0.1928571,0,297.6514286,297.8,293.3171429,299.8,295.7,5.5,76.87857143,0,14.70142857,2.314285714,25.65714286,7.814285714,31.1,20.6,2.9
98,sj,1992,11,3/11/1992,40,0.08685,0.09015,0.128,0.1551,23.22,297.6342857,297.7857143,293.54,299.6,296.1,12.6,78.05714286,23.22,14.94428571,2.514285714,25.78571429,7.757142857,31.7,21.7,5.9
99,sj,1992,12,3/18/1992,37,0.05305,0.08405,0.1417714,0.1345143,0,297.9471429,298.15,293.7085714,300.4,295.5,3.56,77.50571429,0,15.13571429,2.7,26.1,7.857142857,31.1,21.7,4.8
100,sj,1992,13,3/25/1992,29,,,0.1348429,0.1068,0,297.2185714,297.4285714,293.5785714,300.3,295.8,21,80.23857143,0,14.96857143,2.8,26.2,5.714285714,32.2,22.2,2.3
101,sj,1992,14,4/1/1992,30,0.09995,0.07765,0.1930667,0.1769,122.27,297.9828571,298.0714286,293.8842857,300.2,296,16.2,78.06714286,122.27,15.26428571,2.742857143,26.22857143,7.528571429,31.1,21.7,24.1
102,sj,1992,15,4/8/1992,30,0.1039,0.1315,0.1224714,0.1243857,43.21,298.6828571,298.8785714,294.1957143,301.6,295.9,11.1,76.37571429,43.21,15.61285714,3.614285714,26.98571429,7.842857143,32.8,21.7,0
103,sj,1992,16,4/15/1992,28,0.07515,0.09743333,0.1590286,0.1729857,83.11,297.8314286,298,294.9428571,300.4,296.6,70.6,84.18428571,83.11,16.32428571,2.142857143,26.81428571,5.885714286,31.7,22.8,24.5
104,sj,1992,17,4/22/1992,23,0.0922,0.1137,0.1514143,0.1548286,36.16,298.0885714,298.2571429,294.0485714,300.6,296.5,25.8,78.42571429,36.16,15.45285714,2.828571429,26.67142857,7.242857143,31.7,22.2,4.6
105,sj,1992,18,4/29/1992,24,0.0125,0.0635,0.07031429,0.08944286,0,298.1971429,298.5214286,293.4,302.1,295.6,4,74.93285714,0,14.9,3.614285714,27.37142857,6.5,33.9,23.3,1.6
106,sj,1992,19,5/6/1992,29,0.10875,0.2169,0.1823286,0.2073571,13.92,298.3357143,298.4428571,294.2214286,302.1,296,45,78.48,13.92,15.75,3,26.78571429,6.914285714,33.9,22.2,32
107,sj,1992,20,5/13/1992,26,0.101875,-0.0088,0.1420667,0.1259,2.94,298.3342857,298.5142857,294.2757143,300.4,296.4,27.5,78.38142857,2.94,15.68714286,2.228571429,27.44285714,5.957142857,31.1,22.8,8.1
108,sj,1992,21,5/20/1992,23,0.1024,0.0686,0.06238333,0.0574,71.85,298.4085714,298.5571429,295.7671429,301,296.8,570.5,85.64714286,71.85,17.23285714,2.714285714,27.85714286,6.771428571,32.8,23.3,22.1
109,sj,1992,22,5/27/1992,20,0.1215,,0.2191571,0.2130143,186.25,298.6157143,298.75,296.3342857,301.4,297,130.3,87.30142857,186.25,17.83285714,2.357142857,27.42857143,5.957142857,31.7,23.9,80.2
110,sj,1992,23,6/3/1992,19,0.12165,0.13995,0.1100857,0.1022286,42.24,299.1042857,299.2285714,296.5228571,301,297.8,50,85.82714286,42.24,17.99571429,2.114285714,27.5,6.914285714,31.7,22.8,103.9
111,sj,1992,24,6/10/1992,20,0.08395,0.0856,0.1023714,0.1117714,43.21,298.9014286,298.9642857,296.1542857,300.5,297.6,43.8,84.87,43.21,17.57,1.985714286,28.2,6.871428571,32.8,24.4,102.4
112,sj,1992,25,6/17/1992,26,0.10445,0.15315,0.1811571,0.1920857,52.07,298.9314286,298.9571429,296.0428571,301,297,37.1,84.24857143,52.07,17.44142857,2,28.28571429,6.742857143,32.8,24.4,29.8
113,sj,1992,26,6/24/1992,29,0.1302,0.1302,0.13938,0.11475,52.96,299.5685714,299.55,296.3842857,301.8,298,33.7,82.77714286,52.96,17.80714286,1.728571429,28.48571429,7.028571429,32.8,23.9,5.4
114,sj,1992,27,7/1/1992,31,0.1194,0.1439,0.1693286,0.1684714,10.74,300.1771429,300.3785714,296.2757143,301.8,298.3,10,79.33428571,10.74,17.66714286,2.271428571,29.22857143,6.642857143,33.3,25.6,3.1
115,sj,1992,28,7/8/1992,28,,0.192,0.1468571,0.1530714,1.86,300.2857143,300.5642857,296.1985714,302.2,298.7,5.4,78.49714286,1.86,17.56857143,2.785714286,28.72857143,6.614285714,32.8,24.4,1.8
116,sj,1992,29,7/15/1992,26,0.112,0.1255,0.14214,0.1825333,94.14,299.79,299.8285714,296.0528571,301.8,298,46.1,80.15,94.14,17.43,2,27.62857143,6.042857143,31.7,23.9,45.2
117,sj,1992,30,7/22/1992,32,-0.1396,0.05918,0.1371286,0.1288714,33.51,299.2271429,299.3714286,295.8757143,301.1,298,69.04,81.98428571,33.51,17.24857143,2.028571429,27.55714286,6.857142857,31.7,23.3,41
